"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 08 17:32:36 GMT 2025","Thu May 08 17:32:42 GMT 2025","6091","Comprar playeras en pirma","","","","","Buscar chamarras para hombre de talla mediana",""
"broken","Thu May 08 17:32:31 GMT 2025","Thu May 08 17:32:36 GMT 2025","5381","Comprar playeras en pirma","","","","","Agregar jersey al carrito e ir a pagar",""
